"Device","Comment"
"X0","PLC_Heartbeat (PLC output toggle 100ms)"
"X1","PLC_Ack (PLC acknowledge result received)"
"X2","Sensor_Part_In_Position (Cảm biến phôi vào vị trí chụp)"
"X3","Encoder_Phase_A (Tín hiệu xung pha A)"
"X4","Encoder_Phase_B (Tín hiệu xung pha B)"
"Y0","Vision_Heartbeat (Vision input toggle 100ms)"
"Y1","Vision_Ready (Vision sẵn sàng nhận trigger)"
"Y2","Vision_Busy (Vision đang phân tích ảnh)"
"Y3","Vision_Done (Vision hoàn thành 1 chu kỳ)"
"Y4","Vision_Pass (Sản phẩm OK)"
"Y5","Vision_NG (Sản phẩm Lỗi NG)"
"Y10","Line_E_Stop (Ngắt khẩn cấp motor băng chuyền)"
"Y20","Reject_Piston (Xylanh thổi / gạt sản phẩm NG)"
"M10","PLC_Trigger_Bit (Xung kích camera chụp)"
"M11","Part_Present_Latch (Khóa trạng thái có phôi)"
"M20","Part_Trigger_Latch (Chốt tọa độ Encoder lúc chụp cho In-Flight)"
"M30","Shift_Register_Push_NG (Nạp tọa độ phôi lỗi vào hàng đợi Reject)"
"M31","Shift_Register_Pop_Pass (Giải phóng phôi đạt khỏi hàng đợi In-Flight)"
"M100","Vision_Ready_Internal"
"M101","Vision_Busy_Internal"
"M102","Vision_Done_Internal"
"M103","Vision_Pass_Internal"
"M104","Vision_NG_Internal"
"M105","PLC_Ack_Internal"
"M200","Vision_Heartbeat_Internal"
"M201","PLC_Heartbeat_Internal"
"M202","Vision_Fault_Alarm (Cảnh báo mất kết nối Vision)"
"M205","Vision_Heartbeat_Edge"
"M210","Handshake_Timeout_Alarm (Cảnh báo lỗi timeout bắt tay)"
"M211","Handshake_Reset_Command (Lệnh reset lỗi bắt tay)"
"T0","Watchdog_Vision_Lost_Timer (300ms timeout)"
"T1","PLC_Heartbeat_Oscillator_Timer (100ms pulse)"
"T2","Handshake_Timeout_Timer (2000ms timeout)"
"T10","Reject_Pulse_Duration_Timer (100ms pulse)"
"D100","Reject_Distance_Mm (Khoảng cách trạm loại bỏ mm)"
"D102","Reject_Tolerance_Mm (Dung sai kích hoạt mm)"
"D200","Origin_X_Coord (Tọa độ X float 32-bit)"
"D202","Origin_Y_Coord (Tọa độ Y float 32-bit)"
"D204","Origin_Angle_Deg (Góc quay lệch float 32-bit)"
"D210","Measure_Dist1 (Kích thước đo khoảng cách float 32-bit)"
"D300","Total_Inspected_Count (Tổng số lượng kiểm tra DINT)"
"D302","Total_Pass_Count (Tổng số lượng OK DINT)"
"D304","Total_NG_Count (Tổng số lượng NG DINT)"
"D1000","Current_Encoder_Pulses (Xung Encoder DINT 32-bit)"
"D1002","Current_Line_Speed_Mpm (Tốc độ chuyền m/phút)"
"D1004","Current_Position_Mm (Tọa độ mét dài thực tế mm Float 32-bit)"
