"Class","Label Name","Data Type","Constant","Device","Address","Comment"
"VAR_GLOBAL","Vision_Heartbeat","Bit","","Y0","","Heartbeat bit toggled by Vision PC (100ms)"
"VAR_GLOBAL","PLC_Heartbeat","Bit","","X0","","Heartbeat bit toggled by PLC (100ms)"
"VAR_GLOBAL","Vision_Ready","Bit","","Y1","","Vision system ready to receive trigger"
"VAR_GLOBAL","Vision_Busy","Bit","","Y2","","Vision system is currently inspecting"
"VAR_GLOBAL","Vision_Done","Bit","","Y3","","Vision inspection completed pulse"
"VAR_GLOBAL","Vision_Pass","Bit","","Y4","","Inspection result: PASS / OK"
"VAR_GLOBAL","Vision_NG","Bit","","Y5","","Inspection result: FAIL / NG"
"VAR_GLOBAL","PLC_Trigger","Bit","","M10","","PLC trigger camera frame capture"
"VAR_GLOBAL","PLC_Ack","Bit","","X1","","PLC acknowledge receipt of results"
"VAR_GLOBAL","Vision_Fault","Bit","","M202","","Vision communication loss or emergency fault"
"VAR_GLOBAL","Line_E_Stop","Bit","","Y10","","Emergency stop output to line conveyor"
"VAR_GLOBAL","Reject_Piston","Bit","","Y20","","Solenoid valve to reject NG product"
"VAR_GLOBAL","Encoder_Pulses","Double Word [Signed]","","D1000","","Current Encoder 32-bit Pulse Position"
"VAR_GLOBAL","Line_Speed_Mpm","Word [Signed]","","D1002","","Current Line Speed (meters per minute)"
"VAR_GLOBAL","Reject_Distance_Mm","Word [Signed]","","D100","","Distance from Camera to Reject Station in mm"
"VAR_GLOBAL","Reject_Tolerance_Mm","Word [Signed]","","D102","","Trigger tolerance window in mm"
"VAR_GLOBAL","Origin_X","Single-precision real","","D200","","Detected Part Origin X Coordinate (mm)"
"VAR_GLOBAL","Origin_Y","Single-precision real","","D202","","Detected Part Origin Y Coordinate (mm)"
"VAR_GLOBAL","Origin_Angle","Single-precision real","","D204","","Detected Part Origin Angle (Degrees)"
"VAR_GLOBAL","Measure_Distance1","Single-precision real","","D210","","Measurement Dimension 1 (mm)"
"VAR_GLOBAL","Total_Inspected_Count","Double Word [Signed]","","D300","","Total parts inspected counter"
"VAR_GLOBAL","Total_Pass_Count","Double Word [Signed]","","D302","","Total OK parts counter"
"VAR_GLOBAL","Total_NG_Count","Double Word [Signed]","","D304","","Total NG parts counter"
